loss,grad_norm
47.93421173095703,1.0922787189483643
48.264488220214844,1.3685994148254395
48.331233978271484,2.7455618381500244
48.35300064086914,4.503840446472168
48.479881286621094,19.419260025024414
47.84501647949219,207.4112091064453
47.19803237915039,469.5045166015625
47.25593566894531,572.6702270507812
47.28969955444336,556.8134765625
47.11167526245117,134.1150665283203
47.73159408569336,513.5810546875
47.20782470703125,255.5103302001953
47.21189880371094,465.1663818359375
47.25004196166992,582.4532470703125
47.270057678222656,611.8811645507812
47.07785415649414,77.72534942626953
47.26184844970703,559.4707641601562
47.17577362060547,212.08399963378906
47.27798843383789,590.48974609375
47.08647155761719,20.143539428710938
47.286399841308594,646.3206787109375
47.05094909667969,47.34606170654297
47.523719787597656,447.9537353515625
47.543853759765625,439.74163818359375
47.327186584472656,329.0568542480469
47.349300384521484,526.2183227539062
47.21455383300781,538.0394287109375
47.079708099365234,45.454036712646484
47.2608642578125,554.8485107421875
47.08863830566406,74.42366027832031
47.38216781616211,446.3223571777344
47.094635009765625,141.4348907470703
47.3148193359375,607.511474609375
47.07535934448242,48.09440612792969
47.2961311340332,529.9067993164062
47.10516357421875,72.20918273925781
47.25368118286133,589.7446899414062
47.06726837158203,64.42984771728516
47.71372985839844,477.2478332519531
47.4622688293457,386.80377197265625
47.630123138427734,515.6997680664062
47.26385498046875,573.0380859375
47.318824768066406,616.4490966796875
47.07925796508789,168.1685333251953
47.414154052734375,366.9306335449219
47.083152770996094,27.042449951171875
47.42060089111328,393.879150390625
47.72860336303711,415.6094055175781
47.417476654052734,339.19329833984375
47.18793487548828,201.06871032714844
47.22280502319336,548.0421142578125
47.09398651123047,170.97821044921875
47.24138259887695,557.8200073242188
47.07523727416992,166.9976806640625
47.1142463684082,154.76995849609375
47.23319625854492,426.5071716308594
47.083194732666016,143.65228271484375
47.1196403503418,256.29571533203125
47.17831039428711,293.3693542480469
47.04838943481445,9.999150276184082
47.580482482910156,440.6061706542969
47.2699089050293,250.06326293945312
47.71076965332031,447.12811279296875
47.06188201904297,85.6449966430664
47.21549606323242,577.8814697265625
47.29457092285156,600.1371459960938
47.301300048828125,571.806884765625
47.12438201904297,231.434326171875
47.08287811279297,190.57044982910156
47.18434143066406,497.0220947265625
47.294681549072266,641.5897827148438
47.293392181396484,523.8885498046875
47.173583984375,421.4811706542969
47.28323745727539,642.4998168945312
47.21984100341797,630.4959106445312
47.190059661865234,368.48419189453125
47.18827819824219,462.1332092285156
47.35318374633789,657.7693481445312
47.213077545166016,592.4144287109375
47.18210220336914,315.4262390136719
