day_index,date,price,real_price,log_return,aggregate_action,thinking_external,total_demand,active_agents,alive_agents,mean_action_lstm,mean_action_gru,mean_action_cnn,mean_action_mlp,mean_action_momentum,mean_action_value,mean_action_random
619,2013-11-22,153.02474014126167,161.25,0.0021243963654535613,0.6,0.18429757754007975,0.7842975775400798,120,230,0.3333333333333333,0.6666666666666666,2.6666666666666665,1.0,0.49,0.59,0.8888888888888888
620,2013-11-25,153.82579175171094,158.05,0.005221131117114146,1.7478260869565216,0.18785525957743326,1.9356813465339548,116,230,1.3333333333333333,0.0,0.0,0.3333333333333333,2.72,1.43,-1.0
621,2013-11-26,153.98143720654312,151.7,0.001011317821382399,0.18695652173913044,0.1903235117594401,0.37728003349857053,112,230,0.3333333333333333,0.0,1.0,0.6666666666666666,-1.17,1.59,-0.2777777777777778
622,2013-11-27,153.66985586414108,157.05,-0.0020255494187792263,-0.9434782608695652,0.1898990313212077,-0.7535792295483575,126,230,0.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,-2.67,0.47,-0.5
623,2013-11-28,154.28739574205846,157.95,0.004010561221965187,1.2956521739130435,0.1913740634918213,1.4870262374048648,119,230,0.6666666666666666,0.3333333333333333,1.0,-0.3333333333333333,2.32,0.7,-0.5
624,2013-11-29,154.76469248579312,159.7,0.003088781091530557,0.9565217391304348,0.19487913449605307,1.1514008736264878,119,230,1.0,1.3333333333333333,0.0,2.6666666666666665,0.94,1.17,-0.3333333333333333
625,2013-12-02,155.28166715044833,158.1,0.003334824794397638,1.0478260869565217,0.19677329063415527,1.244599377590677,107,230,0.6666666666666666,0.0,1.3333333333333333,0.0,1.18,1.1,0.3888888888888889
626,2013-12-03,155.53155138009464,154.45,0.0016079385855379152,0.4043478260869565,0.19866619110107422,0.6030140171880307,120,230,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,-0.55,1.29,0.0
627,2013-12-04,155.43605831846162,160.4,-0.0006141672743812417,-0.43043478260869567,0.20171438852945964,-0.22872039407923603,111,230,0.6666666666666666,1.3333333333333333,1.0,-0.3333333333333333,-1.59,0.5,0.1111111111111111
628,2013-12-05,156.09094947638948,163.3,0.004204400300773311,1.373913043478261,0.2072720209757487,1.5811850644540097,112,230,0.0,0.0,0.3333333333333333,0.3333333333333333,2.52,0.8,-1.0
629,2013-12-06,156.88275159724483,164.85,0.005059874407785235,1.6956521739130435,0.21328287124633788,1.9089350451593814,121,230,1.3333333333333333,0.6666666666666666,1.0,1.0,2.17,1.44,0.9444444444444444
630,2013-12-09,157.5439370878115,159.95,0.004205663761542044,1.3782608695652174,0.21877406438191732,1.5970349339471348,114,230,0.6666666666666666,1.6666666666666667,3.0,1.0,1.2,1.55,1.2777777777777777
631,2013-12-10,157.4946384875773,156.95,-0.0003129686613556532,-0.3391304347826087,0.22315247853597006,-0.11597795624663862,130,230,2.3333333333333335,1.6666666666666667,0.0,2.0,-2.2,1.29,-0.2777777777777778
